,schoolId,schoolNm,schoolSe,fondDate,fondType,bnhhSe,operSttus,lnmadr,rdnmadr,cddcCode,cddcNm,edcSport,edcSportNm,creatDate,changeDate,latitude,longitude,referenceDate,insttCode
127,B000012883,진천고등학교,고등학교,1977-03-05,공립,본교,운영,충청북도 진천군 진천읍 신정리 590,충청북도 진천군 진천읍 문화12길 48,8000000,충청북도교육청,8081000,충청북도진천교육지원청,2013-11-29,2020-09-19,36.8539549,127.4499542,2020-09-22,7001220
128,B000009840,옥동중학교,중학교,1971-12-31,공립,본교,운영,강원도 영월군 김삿갓면 옥동리 402,강원도 영월군 김삿갓면 영월동로 1664,7800000,강원도교육청,7901000,강원도영월교육지원청,2013-11-29,2020-09-19,37.1281656,128.5706668,2020-09-22,7001220
129,B000005098,옥동초등학교,초등학교,1925-10-01,공립,본교,운영,강원도 영월군 김삿갓면 옥동리 429,강원도 영월군 김삿갓면 영월동로 1679,7800000,강원도교육청,7901000,강원도영월교육지원청,2013-11-29,2020-09-19,37.1304806,128.5698387,2020-09-22,7001220
130,B000011177,양주중학교,중학교,1970-03-16,공립,본교,운영,경상남도 양산시 상북면 석계리 51,경상남도 양산시 상북면 양주마을2길 18,9010000,경상남도교육청,9151000,경상남도양산교육지원청,2013-11-29,2020-09-19,35.41517665,129.0677568,2020-09-22,7001220
131,B000009324,서천중학교,중학교,2011-03-01,공립,본교,운영,경기도 용인시 기흥구 서천동 796,경기도 용인시 기흥구 서천동로 7,7530000,경기도교육청,7751000,경기도용인교육지원청,2013-11-29,2020-09-19,37.24001911,127.0758949,2020-09-22,7001220
132,B000012550,성복고등학교,고등학교,2011-03-01,공립,본교,운영,경기도 용인시 수지구 성복동 782,경기도 용인시 수지구 도마치로 92,7530000,경기도교육청,7751000,경기도용인교육지원청,2013-11-29,2020-09-19,37.32336344,127.0611228,2020-09-22,7001220
133,B000011813,부산국제외국어고등학교,고등학교,2004-03-01,사립,본교,운영,부산광역시 해운대구 우동 1025-127,부산광역시 해운대구 해운대로469번길 50-1,7150000,부산광역시교육청,7211000,부산광역시해운대교육지원청,2013-11-29,2020-09-19,35.16591884,129.1443578,2020-09-22,7001220
134,B000008641,불로중학교,중학교,1991-03-01,공립,본교,운영,대구광역시 동구 불로동 1010,대구광역시 동구 방천로5길 8,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2013-11-29,2020-09-19,35.89830061,128.6344118,2020-09-22,7001220
135,B000008258,오륜중학교,중학교,1989-04-18,공립,본교,운영,서울특별시 송파구 방이동 89-7,서울특별시 송파구 양재대로 1242,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2020-09-19,37.51632395,127.1389238,2020-09-22,7001220
136,B000002791,대구범일초등학교,초등학교,1992-07-25,공립,본교,운영,대구광역시 수성구 범물동 1364,대구광역시 수성구 범안로4길 22,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2013-11-29,2020-09-19,35.81631646,128.6388284,2020-09-22,7001220
137,B000002789,대구복명초등학교,초등학교,1926-04-10,공립,본교,운영,대구광역시 수성구 범물동 1293,대구광역시 수성구 범안로20길 8,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2013-11-29,2020-09-19,35.8176268,128.6472131,2020-09-22,7001220
138,B000005919,안중초등학교,초등학교,1948-02-24,공립,본교,운영,충청남도 태안군 안면읍 중장리 653,충청남도 태안군 안면읍 율포길 31,8140000,충청남도교육청,8281000,충청남도태안교육지원청,2013-11-29,2020-09-19,36.47401169,126.3722967,2020-09-22,7001220
139,B000003415,대전중원초등학교,초등학교,1991-04-06,공립,본교,운영,대전광역시 대덕구 중리동 371-5,대전광역시 대덕구 중리로64번길 45,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2020-09-19,36.3658142,127.4280277,2020-09-22,7001220
140,B000025444,용아초등학교,초등학교,2020-09-01,공립,본교,운영,충청북도 청주시 상당구 용암동 236-6,충청북도 청주시 상당구 중고개로142번길 32-15,8000000,충청북도교육청,8011000,충청북도청주교육지원청,2013-11-29,2020-09-01,36.618226,127.5225275,2020-09-22,7001220
141,B000011838,광주자동화설비공업고등학교,고등학교,1979-03-08,공립,본교,운영,광주광역시 광산구 우산동 1084,광주광역시 광산구 사암로92번길 136-26,7380000,광주광역시교육청,7401000,광주광역시서부교육지원청,2013-11-29,2020-09-19,35.15002094,126.8140921,2020-09-22,7001220
142,B000011362,부산디지털고등학교,고등학교,1954-03-24,사립,본교,운영,부산광역시 중구 영주동 446-2,부산광역시 중구 망양로 356,7150000,부산광역시교육청,7171000,부산광역시서부교육지원청,2013-11-29,2020-09-19,35.10885429,129.0324467,2020-09-22,7001220
