,locdate,dateName
0,20200101,1월1일
1,20200124,설날
2,20200125,설날
3,20200126,설날
4,20200127,설날
5,20200301,삼일절
6,20200415,제21대 국회의원선거
7,20200430,부처님오신날
8,20200505,어린이날
9,20200606,현충일
10,20200815,광복절
11,20200817,임시공휴일
12,20200930,추석
13,20201001,추석
14,20201002,추석
15,20201003,개천절
16,20201009,한글날
17,20201225,기독탄신일
