행정구역코드,행정구역명,행정구역레벨,성별,총 이동 전입,총 이동 전출,시군구내 전입,시군구내 전출,시군구간 전입,시군구간 전출,시도간 전입,시도간 전출,순이동
3114060000,울산광역시 남구 옥동,읍면동,여자,1273,1516,535,484,418,473,320,559,-243
3114062500,울산광역시 남구 대현동,읍면동,남자,2003,1837,1040,793,563,531,400,513,166
3114062500,울산광역시 남구 대현동,읍면동,여자,2007,1777,1048,790,558,517,401,470,230
3114063500,울산광역시 남구 수암동,읍면동,남자,1437,856,898,388,314,208,225,260,581
3114063500,울산광역시 남구 수암동,읍면동,여자,1371,844,845,370,319,212,207,262,527
3114064000,울산광역시 남구 선암동,읍면동,남자,764,1087,374,408,207,397,183,282,-323
3114064000,울산광역시 남구 선암동,읍면동,여자,677,950,347,379,198,341,132,230,-273
3114067000,울산광역시 남구 야음장생포동,읍면동,남자,563,820,249,327,141,269,173,224,-257
3114067000,울산광역시 남구 야음장생포동,읍면동,여자,390,593,186,264,111,192,93,137,-203
3117051000,울산광역시 동구 방어동,읍면동,남자,2395,2926,786,655,656,988,953,1283,-531
3117051000,울산광역시 동구 방어동,읍면동,여자,1744,2175,625,543,476,782,643,850,-431
3117052000,울산광역시 동구 일산동,읍면동,남자,452,567,205,272,101,117,146,178,-115
3117052000,울산광역시 동구 일산동,읍면동,여자,353,457,173,216,76,107,104,134,-104
3117053000,울산광역시 동구 화정동,읍면동,남자,971,1349,535,518,168,389,268,442,-378
3117053000,울산광역시 동구 화정동,읍면동,여자,885,1262,470,456,173,391,242,415,-377
3117054000,울산광역시 동구 대송동,읍면동,남자,633,965,319,394,111,273,203,298,-332
3117054000,울산광역시 동구 대송동,읍면동,여자,574,862,278,354,125,239,171,269,-288
3117055000,울산광역시 동구 전하1동,읍면동,남자,802,1051,347,352,153,307,302,392,-249
3117055000,울산광역시 동구 전하1동,읍면동,여자,747,898,297,325,167,287,283,286,-151
3117056000,울산광역시 동구 전하2동,읍면동,남자,963,1241,472,408,150,342,341,491,-278
3117056000,울산광역시 동구 전하2동,읍면동,여자,910,1229,475,404,149,366,286,459,-319
3117058000,울산광역시 동구 남목1동,읍면동,남자,357,544,131,135,119,215,107,194,-187
3117058000,울산광역시 동구 남목1동,읍면동,여자,287,466,98,112,97,193,92,161,-179
