,feature_name,importance
2,totalcnt_bf1w,552
1,totalcnt_bf1d,460
0,hour,382
3,temperature,229
4,humidity,134
19,dayofweek_토,70
18,dayofweek_일,69
17,dayofweek_월,69
7,store_category_3,67
8,store_category_6,52
5,precipitation,44
21,month_10,42
10,store_category_9,34
9,store_category_8,27
12,store_category_28,26
13,hospital_category_3,25
229,store_category_31_3,24
26,month_7,22
14,dayofweek_금,22
16,dayofweek_수,21
