campusName,collegeinfourl,schoolType,link,schoolGubun,adres,schoolName,region,totalCount,estType,seq,latitude,longitude
본교,,일반대학,http://www.unist.ac.kr,대학(4년제),"울산광역시 울주군 언양읍 유니스트길 50 (반연리, 울산과학기술대학교)",울산과학기술원,울산광역시,430,국립,737.0,35.5763317,129.189255
본교,,전문대학,http://www.uc.ac.kr,전문대학,"울산광역시 동구 봉수로 101 (화정동, 울산과학대학동부캠퍼스)",울산과학대학교,울산광역시,430,사립,359.0,35.49578930000001,129.4156498
본교,,일반대학,http://www.ulsan.ac.kr,대학(4년제),"울산광역시 남구 대학로 93 (무거동, 울산대학교)",울산대학교,울산광역시,430,사립,130.0,35.5437411,129.2562843
본교,,전문대학,http://www.ch.ac.kr,전문대학,"울산광역시 울주군 웅촌면 대학길 9 (곡천리, 춘해보건대학)",춘해보건대학교,울산광역시,430,사립,391.0,35.4578572,129.1964003
울산캠퍼스,,기능대학(폴리텍대학),http://www.kopo.ac.kr,전문대학,"울산광역시 중구 산전길 155 (동동, 한국폴리텍7대학울산캠퍼스)",한국폴리텍 VII 대학 울산캠퍼스,울산광역시,430,국립,712.0,35.5796234,129.347966
본교,,일반대학,http://college.hhi.co.kr,전문대학,"울산광역시 동구 방어진순환도로 1000 (전하동, 현대중공업(주))",현대중공업공과대학,울산광역시,430,사립,967.0,35.5032844,129.4358669
