,date,weekend,ntl_holi,holi,rest_yn,seq_holi
161,2020-06-10,N,N,N,N,N
162,2020-06-11,N,N,N,N,N
163,2020-06-12,N,N,N,N,N
164,2020-06-13,Y,N,N,Y,N
165,2020-06-14,Y,N,N,Y,N
166,2020-06-15,N,N,N,N,N
167,2020-06-16,N,N,N,N,N
168,2020-06-17,N,N,N,N,N
169,2020-06-18,N,N,N,N,N
170,2020-06-19,N,N,N,N,N
171,2020-06-20,Y,N,N,Y,N
172,2020-06-21,Y,N,N,Y,N
173,2020-06-22,N,N,N,N,N
174,2020-06-23,N,N,N,N,N
175,2020-06-24,N,N,N,N,N
176,2020-06-25,N,N,N,N,N
177,2020-06-26,N,N,N,N,N
178,2020-06-27,Y,N,N,Y,N
179,2020-06-28,Y,N,N,Y,N
180,2020-06-29,N,N,N,N,N
181,2020-06-30,N,N,N,N,N
182,2020-07-01,N,N,N,N,N
183,2020-07-02,N,N,N,N,N
184,2020-07-03,N,N,N,N,N
185,2020-07-04,Y,N,N,Y,N
186,2020-07-05,Y,N,N,Y,N
187,2020-07-06,N,N,N,N,N
188,2020-07-07,N,N,N,N,N
189,2020-07-08,N,N,N,N,N
190,2020-07-09,N,N,N,N,N
191,2020-07-10,N,N,N,N,N
192,2020-07-11,Y,N,N,Y,N
193,2020-07-12,Y,N,N,Y,N
194,2020-07-13,N,N,N,N,N
195,2020-07-14,N,N,N,N,N
196,2020-07-15,N,N,N,N,N
197,2020-07-16,N,N,N,N,N
198,2020-07-17,N,N,N,N,N
199,2020-07-18,Y,N,N,Y,N
200,2020-07-19,Y,N,N,Y,N
201,2020-07-20,N,N,N,N,N
202,2020-07-21,N,N,N,N,N
203,2020-07-22,N,N,N,N,N
204,2020-07-23,N,N,N,N,N
205,2020-07-24,N,N,N,N,N
206,2020-07-25,Y,N,N,Y,N
207,2020-07-26,Y,N,N,Y,N
208,2020-07-27,N,N,N,N,N
209,2020-07-28,N,N,N,N,N
210,2020-07-29,N,N,N,N,N
211,2020-07-30,N,N,N,N,N
212,2020-07-31,N,N,N,N,N
213,2020-08-01,Y,N,N,Y,N
214,2020-08-02,Y,N,N,Y,N
215,2020-08-03,N,N,N,N,N
216,2020-08-04,N,N,N,N,N
217,2020-08-05,N,N,N,N,N
218,2020-08-06,N,N,N,N,N
219,2020-08-07,N,N,N,N,N
220,2020-08-08,Y,N,N,Y,N
221,2020-08-09,Y,N,N,Y,N
222,2020-08-10,N,N,N,N,N
223,2020-08-11,N,N,N,N,N
224,2020-08-12,N,N,N,N,N
225,2020-08-13,N,N,N,N,N
226,2020-08-14,N,N,N,N,N
227,2020-08-15,Y,N,Y,Y,Y
228,2020-08-16,Y,N,N,Y,Y
229,2020-08-17,N,N,Y,Y,Y
230,2020-08-18,N,N,N,N,N
231,2020-08-19,N,N,N,N,N
232,2020-08-20,N,N,N,N,N
233,2020-08-21,N,N,N,N,N
234,2020-08-22,Y,N,N,Y,N
235,2020-08-23,Y,N,N,Y,N
236,2020-08-24,N,N,N,N,N
237,2020-08-25,N,N,N,N,N
238,2020-08-26,N,N,N,N,N
239,2020-08-27,N,N,N,N,N
240,2020-08-28,N,N,N,N,N
241,2020-08-29,Y,N,N,Y,N
242,2020-08-30,Y,N,N,Y,N
243,2020-08-31,N,N,N,N,N
244,2020-09-01,N,N,N,N,N
245,2020-09-02,N,N,N,N,N
246,2020-09-03,N,N,N,N,N
247,2020-09-04,N,N,N,N,N
248,2020-09-05,Y,N,N,Y,N
249,2020-09-06,Y,N,N,Y,N
250,2020-09-07,N,N,N,N,N
251,2020-09-08,N,N,N,N,N
252,2020-09-09,N,N,N,N,N
253,2020-09-10,N,N,N,N,N
254,2020-09-11,N,N,N,N,N
255,2020-09-12,Y,N,N,Y,N
256,2020-09-13,Y,N,N,Y,N
257,2020-09-14,N,N,N,N,N
258,2020-09-15,N,N,N,N,N
259,2020-09-16,N,N,N,N,N
260,2020-09-17,N,N,N,N,N
261,2020-09-18,N,N,N,N,N
262,2020-09-19,Y,N,N,Y,N
263,2020-09-20,Y,N,N,Y,N
264,2020-09-21,N,N,N,N,N
265,2020-09-22,N,N,N,N,N
266,2020-09-23,N,N,N,N,N
267,2020-09-24,N,N,N,N,N
268,2020-09-25,N,N,N,N,N
269,2020-09-26,Y,N,N,Y,N
270,2020-09-27,Y,N,N,Y,N
271,2020-09-28,N,N,N,N,N
272,2020-09-29,N,N,N,N,N
273,2020-09-30,N,Y,N,Y,Y
274,2020-10-01,N,Y,N,Y,Y
275,2020-10-02,N,Y,N,Y,Y
276,2020-10-03,Y,N,Y,Y,Y
277,2020-10-04,Y,N,N,Y,Y
278,2020-10-05,N,N,N,N,N
279,2020-10-06,N,N,N,N,N
280,2020-10-07,N,N,N,N,N
281,2020-10-08,N,N,N,N,N
282,2020-10-09,N,N,Y,Y,Y
283,2020-10-10,Y,N,N,Y,Y
284,2020-10-11,Y,N,N,Y,Y
