locdate,dateName
20200101,1월1일
20200124,설날
20200125,설날
20200126,설날
20200127,설날
20200301,삼일절
20200415,제21대 국회의원선거
20200430,부처님오신날
20200505,어린이날
20200606,현충일
20200815,광복절
20200817,임시공휴일
20200930,추석
20201001,추석
20201002,추석
20201003,개천절
20201009,한글날
20201225,기독탄신일
