,의료기관명,의료기관종별,의료기관주소(도로명),lat_lng,lat,lng
1645,신현대온누리약국,약국,울산광역시 동구 동해안로 43 (동부동),"{'lat': 35.5423965, 'lng': 129.4280032}",35.5423965,129.4280032
1646,아침온누리약국,약국,울산광역시 동구 화진길 35 (방어동),"{'lat': 35.4895641, 'lng': 129.4211675}",35.4895641,129.4211675
1647,엄마손약국,약국,울산광역시 동구 대학길 59 (화정동),"{'lat': 35.49892920000001, 'lng': 129.4211903}",35.49892920000001,129.4211903
1648,우리대학약국,약국,"울산광역시 동구 바드래1길 45, 현대중공업임원숙소 101호 (전하동)","{'lat': 35.5171485, 'lng': 129.4284686}",35.5171485,129.4284686
1649,우리들약국,약국,울산광역시 동구 대학길 72 (화정동),"{'lat': 35.4984524, 'lng': 129.4216525}",35.4984524,129.4216525
1650,우리약국,약국,울산광역시 동구 전하로 2 (전하동),"{'lat': 35.512368, 'lng': 129.4305269}",35.512368,129.4305269
1651,우리집약국,약국,울산광역시 동구 진성14길 96 (전하동),"{'lat': 35.509808, 'lng': 129.4260646}",35.509808,129.4260646
1652,월드약국,약국,울산광역시 동구 방어진순환도로 747 (전하동),"{'lat': 35.5155795, 'lng': 129.4231946}",35.5155795,129.4231946
1653,위드팜대학약국,약국,"울산광역시 동구 명덕6길 16, C동 (서부동)","{'lat': 35.5233122, 'lng': 129.4317574}",35.5233122,129.4317574
1654,은성약국,약국,"울산광역시 동구 양지5길 72, 1층 (화정동)","{'lat': 35.4986354, 'lng': 129.420806}",35.4986354,129.420806
1655,제일약국,약국,"울산광역시 동구 꽃바위로 311, 1층 (방어동)","{'lat': 35.4854032, 'lng': 129.4225103}",35.4854032,129.4225103
