,의료기관명,의료기관종별,의료기관주소(도로명),lat_lng,lat,lng
0,의료법인 정안의료재단 중앙병원,종합병원,울산광역시 남구 문수로480번길 10 (신정동),"{'lat': 35.5315233, 'lng': 129.3052032}",35.5315233,129.3052032
1,의료법인 은성의료재단 좋은삼정병원,종합병원,울산광역시 남구 북부순환도로 51 (무거동),"{'lat': 35.5528284, 'lng': 129.2690588}",35.5528284,129.2690588
2,의료법인혜명심의료재단 울산병원,종합병원,울산광역시 남구 월평로171번길 13 (신정동),"{'lat': 35.546209, 'lng': 129.3230784}",35.546209,129.3230784
3,학교법인 울산공업학원 울산대학교병원,종합병원,"울산광역시 동구 방어진순환도로 877, 울산대학교병원 (전하동)","{'lat': 35.5199931, 'lng': 129.4289601}",35.5199931,129.4289601
4,의료법인 송은의료재단 울산시티병원,종합병원,울산광역시 북구 산업로 1007(연암동),"{'lat': 35.5810679, 'lng': 129.3623813}",35.5810679,129.3623813
5,울산엘리야병원,종합병원,울산광역시 북구 호계로 285(호계동),"{'lat': 35.6288954, 'lng': 129.3506373}",35.6288954,129.3506373
6,서울산보람병원,종합병원,울산광역시 울주군 삼남면 중평로 53,"{'lat': 35.5596168, 'lng': 129.1205746}",35.5596168,129.1205746
7,의료법인 동강의료재단 동천동강병원,종합병원,"울산광역시 중구 외솔큰길 215 (남외동, 동천동강병원)","{'lat': 35.568577, 'lng': 129.350513}",35.568577,129.350513
8,의료법인 동강의료재단 동강병원,종합병원,울산광역시 중구 태화로 239 (태화동),"{'lat': 35.553663, 'lng': 129.3020349}",35.553663,129.3020349
9,울산미즈병원,병원,울산광역시 남구 남산로 2 (무거동),"{'lat': 35.5523116, 'lng': 129.2708925}",35.5523116,129.2708925
10,(의) 내경의료재단 울산제일병원,병원,울산광역시 남구 남산로354번길 26 (신정동),"{'lat': 35.5482242, 'lng': 129.306891}",35.5482242,129.306891
11,위드여성병원,병원,울산광역시 남구 남중로 123 (삼산동),"{'lat': 35.5454725, 'lng': 129.3479951}",35.5454725,129.3479951
12,의료법인동원의료재단강남동강병원,병원,울산광역시 남구 돋질로 80 (달동),"{'lat': 35.5382586, 'lng': 129.3145971}",35.5382586,129.3145971
13,(의)인석의료재단 보람병원,병원,울산광역시 남구 돋질로336번길 10 (삼산동),"{'lat': 35.5423747, 'lng': 129.3410411}",35.5423747,129.3410411
14,큰빛병원,병원,울산광역시 남구 문수로457번길 5 (신정동),"{'lat': 35.5334108, 'lng': 129.3029381}",35.5334108,129.3029381
15,제니스병원,병원,울산광역시 남구 번영로 160 (달동),"{'lat': 35.5395853, 'lng': 129.3275933}",35.5395853,129.3275933
16,울산우리병원,병원,"울산광역시 남구 번영로 195, 2층 (신정동, 동문아뮤티)","{'lat': 35.5427962, 'lng': 129.3252631}",35.5427962,129.3252631
17,항사랑병원,병원,울산광역시 남구 번영로 92 (달동),"{'lat': 35.5338132, 'lng': 129.3299792}",35.5338132,129.3299792
18,서울아동병원,병원,"울산광역시 남구 북부순환도로 25, 지하1, 3~6층 (무거동)","{'lat': 35.5510418, 'lng': 129.260725}",35.5510418,129.260725
19,굿모닝병원,병원,울산광역시 남구 삼산로 110 (달동),"{'lat': 35.5349553, 'lng': 129.3198756}",35.5349553,129.3198756
20,하나이비인후과병원,병원,울산광역시 남구 삼산로 139 (달동),"{'lat': 35.5364328, 'lng': 129.322404}",35.5364328,129.322404
21,중앙학문병원,병원,울산광역시 남구 삼산로 161 (달동),"{'lat': 35.5371579, 'lng': 129.3248209}",35.5371579,129.3248209
22,좋은의사들안과병원,병원,"울산광역시 남구 삼산로 213, 웰빙메디타워 2~7, 10층 (달동)","{'lat': 35.5383213, 'lng': 129.3304086}",35.5383213,129.3304086
23,참바른병원,병원,"울산광역시 남구 삼산로 247, 2,10,11,12층 (달동)","{'lat': 35.5375769, 'lng': 129.3307588}",35.5375769,129.3307588
24,울산청맥외과병원,병원,"울산광역시 남구 삼산로 274, 15층 (삼산동, W-CENTER)","{'lat': 35.5389471, 'lng': 129.3371411}",35.5389471,129.3371411
25,의료법인정우의료재단프라우메디병원,병원,울산광역시 남구 삼산중로 94 (삼산동),"{'lat': 35.5418412, 'lng': 129.335921}",35.5418412,129.335921
26,울산노인전문병원,병원,울산광역시 남구 수암로 8 (신정동),"{'lat': 35.5317857, 'lng': 129.3089343}",35.5317857,129.3089343
27,울들병원,병원,"울산광역시 남구 중앙로 228, 2~10층 (신정동)","{'lat': 35.541321, 'lng': 129.3119641}",35.541321,129.3119641
28,에이치엠병원,병원,울산광역시 남구 중앙로167번길 26 (신정동),"{'lat': 35.5355621, 'lng': 129.3110951}",35.5355621,129.3110951
29,(의)고담의료재단마더스병원,병원,울산광역시 남구 화합로 107 (달동),"{'lat': 35.534394, 'lng': 129.3405267}",35.534394,129.3405267
30,미래아동병원,병원,울산광역시 동구 방어진순환도로 1162 (서부동),"{'lat': 35.5332318, 'lng': 129.4221623}",35.5332318,129.4221623
31,의료법인 송은의료재단 울산시티e병원,병원,울산광역시 북구 산업로 1001(연암동),"{'lat': 35.5805527, 'lng': 129.3613124}",35.5805527,129.3613124
32,울산아동병원,병원,울산광역시 북구 호계로 332-1(신천동),"{'lat': 35.6321448, 'lng': 129.3521426}",35.6321448,129.3521426
33,울산기독병원,병원,울산광역시 울주군 두동면 남명리1길 34-49,"{'lat': 35.7126117, 'lng': 129.2070629}",35.7126117,129.2070629
34,사회복지법인 동향원 부설 반구대병원,병원,울산광역시 울주군 두동면 천전각석길 11,"{'lat': 35.6180031, 'lng': 129.1693384}",35.6180031,129.1693384
35,햇살아동병원,병원,울산광역시 울주군 범서읍 천상중앙길 80,"{'lat': 35.5630764, 'lng': 129.2276165}",35.5630764,129.2276165
36,세광병원,병원,울산광역시 울주군 삼남면 반구대로 15,"{'lat': 35.4992668, 'lng': 129.0908615}",35.4992668,129.0908615
37,의료법인 명원의료재단 파인힐병원,병원,울산광역시 울주군 상북면 석남로 900,"{'lat': 35.6114575, 'lng': 129.0735981}",35.6114575,129.0735981
38,우리아동병원,병원,울산광역시 울주군 언양읍 헌양길 175,"{'lat': 35.5655588, 'lng': 129.1224587}",35.5655588,129.1224587
39,온양우리아동병원,병원,"울산광역시 울주군 온양읍 화산발리로 742-15, 온양우리아동병원 지1,지2,2~5층","{'lat': 35.4066861, 'lng': 129.2898833}",35.4066861,129.2898833
40,큰빛웅촌병원,병원,울산광역시 울주군 웅촌면 웅촌로 685,"{'lat': 35.4875226, 'lng': 129.2206917}",35.4875226,129.2206917
41,맘스여성병원,병원,울산광역시 중구 남외2길 36 (남외동),"{'lat': 35.5668285, 'lng': 129.3508347}",35.5668285,129.3508347
42,우정병원,병원,울산광역시 중구 명륜로 17 (태화동),"{'lat': 35.5539271, 'lng': 129.3086842}",35.5539271,129.3086842
43,아이윤병원,병원,"울산광역시 중구 번영로 371, 3,6,7,12층 (학산동)","{'lat': 35.5582908, 'lng': 129.3268694}",35.5582908,129.3268694
44,튼튼아동병원,병원,"울산광역시 중구 번영로 590, 5,6,7층 (남외동)","{'lat': 35.5658866, 'lng': 129.3474877}",35.5658866,129.3474877
45,강서병원,병원,울산광역시 중구 북부순환도로 107 (다운동),"{'lat': 35.5677457, 'lng': 129.2803395}",35.5677457,129.2803395
46,유성병원,병원,울산광역시 중구 장춘로 169 (학산동),"{'lat': 35.5566795, 'lng': 129.3254553}",35.5566795,129.3254553
47,사람이소중한병원,병원,"울산광역시 중구 학성로 118, 1~6층 (옥교동)","{'lat': 35.5524343, 'lng': 129.3245444}",35.5524343,129.3245444
48,의료법인에스엠씨의료재단울산세민병원,병원,울산광역시 중구 학성로 184 (학성동),"{'lat': 35.556588, 'lng': 129.3309785}",35.556588,129.3309785
49,울산H병원,병원,울산광역시 중구 화합로 363 (반구동),"{'lat': 35.5583683, 'lng': 129.3408012}",35.5583683,129.3408012
50,아이마음아동병원,병원,"율산광역시 북구 괴정1길 114, 2,3,4,5층(매곡동)","{'lat': 35.6410885, 'lng': 129.3582409}",35.6410885,129.3582409
51,당당한방병원,한방병원,"울산광역시 남구 삼산로 247, 마마파파엔베이비빌딩 (달동)","{'lat': 35.5390786, 'lng': 129.3340444}",35.5390786,129.3340444
52,자연뜰한방병원,한방병원,"울산광역시 남구 수암로 138, 9,11층 (야음동)","{'lat': 35.5269997, 'lng': 129.3219096}",35.5269997,129.3219096
53,재단법인 자생의료재단 울산자생한방병원,한방병원,"울산광역시 남구 삼산로 51 (신정동, B1,1,3,5~7층)","{'lat': 35.5340743, 'lng': 129.3133975}",35.5340743,129.3133975
54,동강한방병원,한방병원,울산광역시 남구 돋질로 80 (달동),"{'lat': 35.5382586, 'lng': 129.3145971}",35.5382586,129.3145971
55,의료법인 기쁨의료재단 엠디한방병원,한방병원,"울산광역시 북구 호계로 332-1, 현대하이플러스 2, 4층(신천동)","{'lat': 35.6331819, 'lng': 129.3500812}",35.6331819,129.3500812
56,정안요양병원,요양병원,울산광역시 북구 관문길 251(천곡동),"{'lat': 35.6541448, 'lng': 129.31292}",35.6541448,129.31292
57,의료법인 옐림의료재단 농소요양병원,요양병원,울산광역시 북구 아진로 78(상안동),"{'lat': 35.6304558, 'lng': 129.3403657}",35.6304558,129.3403657
58,BB요양병원,요양병원,울산광역시 북구 염포로 353(양정동),"{'lat': 35.5508985, 'lng': 129.3747941}",35.5508985,129.3747941
59,복음요양병원,요양병원,울산광역시 북구 제내1길 6(신천동),"{'lat': 35.6315227, 'lng': 129.3517567}",35.6315227,129.3517567
60,세나요양병원,요양병원,울산광역시 북구 호계로 296(호계동),"{'lat': 35.6294253, 'lng': 129.351526}",35.6294253,129.351526
61,좋은요양병원,일반요양병원,"울산광역시 남구 남중로 132, 2, 4~5층 (삼산동)","{'lat': 35.5461658, 'lng': 129.3487831}",35.5461658,129.3487831
62,효마음요양병원,일반요양병원,"울산광역시 남구 대학로 144, 3~8층 (무거동)","{'lat': 35.5474142, 'lng': 129.2625461}",35.5474142,129.2625461
63,의료법인 세연의료재단 무거연세요양병원,일반요양병원,"울산광역시 남구 대학로 148, 2~7층 (무거동)","{'lat': 35.5477279, 'lng': 129.2627077}",35.5477279,129.2627077
64,의)우아의료재단 달동길메리요양병원,일반요양병원,"울산광역시 남구 돋질로 146 (달동, 달동길메리요양병원)","{'lat': 35.540184, 'lng': 129.321677}",35.540184,129.321677
65,태안요양병원,일반요양병원,울산광역시 남구 돋질로 150 (달동),"{'lat': 35.5400586, 'lng': 129.3220015}",35.5400586,129.3220015
66,노블레스요양병원,일반요양병원,"울산광역시 남구 돋질로 277, 지하1층,지상1-8층 (삼산동)","{'lat': 35.544512, 'lng': 129.3350831}",35.544512,129.3350831
67,성모요양병원,일반요양병원,울산광역시 남구 돋질로 293 (삼산동),"{'lat': 35.5445166, 'lng': 129.3368674}",35.5445166,129.3368674
68,새생명요양병원,일반요양병원,울산광역시 남구 돋질로 84 (달동),"{'lat': 35.5318753, 'lng': 129.3303154}",35.5318753,129.3303154
69,구인의료재단법인 오복요양병원,일반요양병원,울산광역시 남구 두왕로 335 (신정동),"{'lat': 35.5313575, 'lng': 129.3069426}",35.5313575,129.3069426
70,국민요양병원,일반요양병원,울산광역시 남구 번영로 15 (야음동),"{'lat': 35.5274301, 'lng': 129.3277484}",35.5274301,129.3277484
71,의료법인 청산의료재단 효원요양병원,일반요양병원,"울산광역시 남구 봉월로 155, 4~6층 (신정동)","{'lat': 35.5463308, 'lng': 129.3070334}",35.5463308,129.3070334
72,따사랑요양병원,일반요양병원,"울산광역시 남구 봉월로 161, 2-5층 (신정동)","{'lat': 35.5467786, 'lng': 129.3071322}",35.5467786,129.3071322
73,삼호요양병원,일반요양병원,"울산광역시 남구 북부순환도로 58, 1~7층 (무거동)","{'lat': 35.552341, 'lng': 129.2698959}",35.552341,129.2698959
74,임요양병원,일반요양병원,울산광역시 남구 삼산로 11 (신정동),"{'lat': 35.5329077, 'lng': 129.3090242}",35.5329077,129.3090242
75,의료법인 득명의료재단 씨엘요양병원,일반요양병원,"울산광역시 남구 수암로128번길 7, 1~3, 6층 (야음동)","{'lat': 35.5270564, 'lng': 129.3214287}",35.5270564,129.3214287
76,양지요양병원,일반요양병원,"울산광역시 남구 월평로 3, 1~3,5~10층 (신정동)","{'lat': 35.5406752, 'lng': 129.3061124}",35.5406752,129.3061124
77,강남요양병원,일반요양병원,울산광역시 남구 중앙로 187-1 (신정동),"{'lat': 35.5377356, 'lng': 129.3127173}",35.5377356,129.3127173
78,의료법인 정흡의료재단 효림요양병원,일반요양병원,울산광역시 동구 방어진순환도로 693-1 (일산동),"{'lat': 35.5032844, 'lng': 129.4358669}",35.5032844,129.4358669
79,방어진마린요양병원,일반요양병원,"울산광역시 동구 중진길 60 (방어동, 세광중공업)","{'lat': 35.4858305, 'lng': 129.426878}",35.4858305,129.426878
80,상록수요양병원,일반요양병원,"울산광역시 동구 진성8길 94 (전하동,대덕타워빌딩 4,5,6,7,8,층)","{'lat': 35.5092722, 'lng': 129.4297382}",35.5092722,129.4297382
81,범서사랑요양병원,일반요양병원,"울산광역시 울주군 범서읍 구영로 94, 엠프라자 3,7,8층","{'lat': 35.574109, 'lng': 129.2412947}",35.574109,129.2412947
82,울산연세요양병원,일반요양병원,"울산광역시 울주군 범서읍 천상5길 10-5, 연세요양병원","{'lat': 35.5625398, 'lng': 129.2243392}",35.5625398,129.2243392
83,언양요양병원,일반요양병원,울산광역시 울주군 삼남면 반구대로 785,"{'lat': 35.5603639, 'lng': 129.1255222}",35.5603639,129.1255222
84,이손요양병원,일반요양병원,울산광역시 울주군 삼남면 하방로 39,"{'lat': 35.5064406, 'lng': 129.090349}",35.5064406,129.090349
85,언양아하브요양병원,일반요양병원,울산광역시 울주군 상북면 삽재로 400,"{'lat': 35.6361588, 'lng': 129.0509381}",35.6361588,129.0509381
86,정토마을 자재요양병원,일반요양병원,울산광역시 울주군 상북면 소야정길 216-39,"{'lat': 35.6160859, 'lng': 129.0556505}",35.6160859,129.0556505
87,간절곶자연요양병원,일반요양병원,울산광역시 울주군 서생면 용리길 165-11,"{'lat': 35.3624901, 'lng': 129.3189504}",35.3624901,129.3189504
88,평화요양병원,일반요양병원,"울산광역시 울주군 언양읍 읍성로 11, 평화요양병원(별관 방천1길 13)","{'lat': 35.5657222, 'lng': 129.1170006}",35.5657222,129.1170006
89,보람요양병원,일반요양병원,울산광역시 울주군 온양읍 덕남로 233,"{'lat': 35.4220009, 'lng': 129.2984372}",35.4220009,129.2984372
90,울산광역시립노인병원,일반요양병원,울산광역시 울주군 온양읍 덕남로 243,"{'lat': 35.4219461, 'lng': 129.2976666}",35.4219461,129.2976666
91,고려요양병원,일반요양병원,울산광역시 울주군 온양읍 온양로 3,"{'lat': 35.4159681, 'lng': 129.2747716}",35.4159681,129.2747716
92,의료법인 청남의료재단  세민에스요양병원,일반요양병원,울산광역시 중구 내황4길 11 (반구동),"{'lat': 35.5522342, 'lng': 129.3447362}",35.5522342,129.3447362
93,의료법인주보배의료재단 주성혜요양병원,일반요양병원,"울산광역시 중구 도화골14길 3, 1-5층 (복산동)","{'lat': 35.5629836, 'lng': 129.3330178}",35.5629836,129.3330178
94,의료법인 우아의료재단 길메리요양병원,일반요양병원,울산광역시 중구 서원1길 106 (반구동),"{'lat': 35.5588552, 'lng': 129.3396413}",35.5588552,129.3396413
95,효성요양병원,일반요양병원,울산광역시 중구 학산로 5 (학산동),"{'lat': 35.5557041, 'lng': 129.3294859}",35.5557041,129.3294859
96,의료법인 성덕의료재단 위너스자연요양병원,일반요양병원,"울산광역시 중구 함월20길 89 (성안동, 위너스자연요양병원)","{'lat': 35.5814437, 'lng': 129.3234691}",35.5814437,129.3234691
97,이경민소아과의원,의원,울산광역시 남구 거마로118번길 17 (신정동),"{'lat': 35.5385083, 'lng': 129.3032113}",35.5385083,129.3032113
98,세종의원,의원,"울산광역시 남구 거마로134번길 17, 2층 (신정동, 국제빌딩)","{'lat': 35.5382513, 'lng': 129.3048899}",35.5382513,129.3048899
99,윤영민정형외과의원,의원,"울산광역시 남구 굴화3길 5-3, 지하1,1,2,5층 (무거동)","{'lat': 35.5552179, 'lng': 129.2633027}",35.5552179,129.2633027
100,서울정형외과의원,의원,"울산광역시 남구 굴화4길 1, 2층 (무거동)","{'lat': 35.5531088, 'lng': 129.263835}",35.5531088,129.263835
101,굿모닝이비인후과의원,의원,"울산광역시 남구 남중로 37, 5,6,7층 (삼산동)","{'lat': 35.5376999, 'lng': 129.3472497}",35.5376999,129.3472497
102,르네상스의원,의원,"울산광역시 남구 대공원로 241, 301,302,312,313호 (신정동, 대공원코오롱파크폴리스상가)","{'lat': 35.53110059999999, 'lng': 129.3074156}",35.53110059999999,129.3074156
103,이창훈정신건강의학과의원,의원,"울산광역시 남구 대공원로 241, 4층 401호 (신정동, 대공원코오롱파크폴리스)","{'lat': 35.53110059999999, 'lng': 129.3074156}",35.53110059999999,129.3074156
104,박수연소아청소년과의원,의원,"울산광역시 남구 대암로 69, 301~303호 (야음동)","{'lat': 35.5308491, 'lng': 129.3238924}",35.5308491,129.3238924
105,연세의원,의원,"울산광역시 남구 대암로 69, 3층 (야음동, 신정현대프라자)","{'lat': 35.5308491, 'lng': 129.3238924}",35.5308491,129.3238924
106,서울아침의원,의원,"울산광역시 남구 대학로 128, 3층 (무거동, 하늘빌딩)","{'lat': 35.5459713, 'lng': 129.261585}",35.5459713,129.261585
107,행복한비뇨기과의원,의원,울산광역시 남구 대학로 136 (무거동),"{'lat': 35.5465771, 'lng': 129.2620092}",35.5465771,129.2620092
108,수마취통증의학과의원,의원,"울산광역시 남구 대학로 136, 3층 (무거동)","{'lat': 35.5465771, 'lng': 129.2620092}",35.5465771,129.2620092
109,박안과의원,의원,"울산광역시 남구 대학로 136, 3층 (무거동, 정빌딩)","{'lat': 35.5466535, 'lng': 129.2619472}",35.5466535,129.2619472
110,건강한내과의원,의원,"울산광역시 남구 대학로 136, 4층 (무거동)","{'lat': 35.5465771, 'lng': 129.2620092}",35.5465771,129.2620092
111,울산베스트피부과의원,의원,"울산광역시 남구 대학로 138, 2층 (무거동, 신정빌딩)","{'lat': 35.5467924, 'lng': 129.2621417}",35.5467924,129.2621417
112,김창환마취통증의학과의원,의원,"울산광역시 남구 대학로 138, 3층 (무거동, 신정빌딩)","{'lat': 35.5467924, 'lng': 129.2621417}",35.5467924,129.2621417
113,굿모닝창문외과의원,의원,"울산광역시 남구 대학로 138, 5층 (무거동, 신정빌딩)","{'lat': 35.5467924, 'lng': 129.2621417}",35.5467924,129.2621417
114,윤혜정산부인과의원,의원,"울산광역시 남구 대학로 138, 6층 (무거동, 신정빌딩)","{'lat': 35.5467924, 'lng': 129.2621417}",35.5467924,129.2621417
115,우리이비인후과의원,의원,"울산광역시 남구 대학로 138, 8층 (무거동)","{'lat': 35.5467678, 'lng': 129.2621302}",35.5467678,129.2621302
116,강문수내과의원,의원,울산광역시 남구 대학로 141 (무거동),"{'lat': 35.5473413, 'lng': 129.2617554}",35.5473413,129.2617554
117,윤이비인후과의원,의원,"울산광역시 남구 대학로 141, 2층 (무거동)","{'lat': 35.5473413, 'lng': 129.2617554}",35.5473413,129.2617554
118,페밀리신경외과의원,의원,"울산광역시 남구 대학로 144, 2,3,8층 (무거동)","{'lat': 35.5474142, 'lng': 129.2625461}",35.5474142,129.2625461
119,현대연합의원,의원,"울산광역시 남구 대학로147번길 41-42, 2층 (무거동, 경남은행 무거동지점)","{'lat': 35.5520369, 'lng': 129.2587629}",35.5520369,129.2587629
120,영남의원,의원,울산광역시 남구 대학로33번길 17 (무거동),"{'lat': 35.5396408, 'lng': 129.2543016}",35.5396408,129.2543016
121,바른정형외과의원,의원,"울산광역시 남구 돋질로 295, 1,4,5층 (삼산동)","{'lat': 35.544518, 'lng': 129.3370671}",35.544518,129.3370671
122,이레성형외과의원,의원,"울산광역시 남구 돋질로302번길 27, 3층 (삼산동)","{'lat': 35.5416915, 'lng': 129.3377193}",35.5416915,129.3377193
123,미소드림의원,의원,"울산광역시 남구 돋질로302번길 31, 4층 (삼산동)","{'lat': 35.5413335, 'lng': 129.3375733}",35.5413335,129.3375733
124,엘리스의원,의원,"울산광역시 남구 돋질로302번길 35, 3, 4층 (삼산동)","{'lat': 35.5409592, 'lng': 129.3375197}",35.5409592,129.3375197
125,유호근의원,의원,울산광역시 남구 두왕로190번길 49 (선암동),"{'lat': 35.5172948, 'lng': 129.3161127}",35.5172948,129.3161127
126,울산선암의원,의원,울산광역시 남구 두왕로64번길 5-14 (선암동),"{'lat': 35.5146024, 'lng': 129.310332}",35.5146024,129.310332
127,권성운내과의원,의원,"울산광역시 남구 문수로 331, 3층 (옥동)","{'lat': 35.5354517, 'lng': 129.2898218}",35.5354517,129.2898218
128,에스마리의원,의원,"울산광역시 남구 문수로 331, 6층 (옥동)","{'lat': 35.5354517, 'lng': 129.2898218}",35.5354517,129.2898218
129,옥동정형외과의원,의원,울산광역시 남구 문수로 333 (옥동),"{'lat': 35.5365985, 'lng': 129.2899019}",35.5365985,129.2899019
130,세안안과의원,의원,"울산광역시 남구 문수로 339 (옥동, 옥동업무시설)","{'lat': 35.5353226, 'lng': 129.2906908}",35.5353226,129.2906908
131,홍내과의원,의원,울산광역시 남구 문수로 346 (옥동),"{'lat': 35.5346571, 'lng': 129.2912293}",35.5346571,129.2912293
132,센텀신경외과의원,의원,울산광역시 남구 문수로 376 (옥동),"{'lat': 35.5341605, 'lng': 129.2943374}",35.5341605,129.2943374
133,옥동우리이비인후과의원,의원,"울산광역시 남구 문수로 376, 3층 (옥동)","{'lat': 35.5341605, 'lng': 129.2943374}",35.5341605,129.2943374
134,바른선정형외과의원,의원,"울산광역시 남구 문수로 377, 대공원센트럴하임더시티 3층 (옥동)","{'lat': 35.5321965, 'lng': 129.2937575}",35.5321965,129.2937575
135,제이유의원,의원,"울산광역시 남구 문수로 377, 대공원센트럴하임더시티 3층 303호 (옥동)","{'lat': 35.5346886, 'lng': 129.2948465}",35.5346886,129.2948465
136,새현대의원,의원,울산광역시 남구 문수로 396 (옥동),"{'lat': 35.5338047, 'lng': 129.2966638}",35.5338047,129.2966638
137,드림메디의원,의원,"울산광역시 남구 문수로335번길 6, 3층 (옥동, 길상빌딩)","{'lat': 35.5355695, 'lng': 129.2906132}",35.5355695,129.2906132
138,보령의원,의원,울산광역시 남구 문수로369번길 3 (옥동),"{'lat': 35.5349394, 'lng': 129.2939}",35.5349394,129.2939
139,삼성연합가정의학과의원,의원,울산광역시 남구 문수로369번길 65 (신정동),"{'lat': 35.538335, 'lng': 129.2973024}",35.538335,129.2973024
140,고든정형외과의원,의원,울산광역시 남구 번영로 115 (달동),"{'lat': 35.5355996, 'lng': 129.3283403}",35.5355996,129.3283403
141,울산편한내과의원,의원,"울산광역시 남구 번영로 119, 3~5층 (달동)","{'lat': 35.5358851, 'lng': 129.3281962}",35.5358851,129.3281962
142,닥터굿재활의학과의원,의원,"울산광역시 남구 번영로 160, 5층 (달동, 제니스성형외과타워)","{'lat': 35.5395853, 'lng': 129.3275933}",35.5395853,129.3275933
143,명안과의원,의원,울산광역시 남구 번영로 178 (달동),"{'lat': 35.5410511, 'lng': 129.3269106}",35.5410511,129.3269106
144,탑흉부외과의원,의원,울산광역시 남구 번영로 96 (달동),"{'lat': 35.53423069999999, 'lng': 129.3298019}",35.53423069999999,129.3298019
145,전내과의원,의원,"울산광역시 남구 번영로107번길 1, 3~5층 (달동)","{'lat': 35.5334821, 'lng': 129.3284908}",35.5334821,129.3284908
146,백신경외과정형외과의원,의원,"울산광역시 남구 봉월로 172, 1,2,4,5층 (신정동)","{'lat': 35.547656, 'lng': 129.3080077}",35.547656,129.3080077
147,고운님여성의원,의원,울산광역시 남구 봉월로 5 (신정동),"{'lat': 35.5330369, 'lng': 129.3069225}",35.5330369,129.3069225
148,나비샘연합의원,의원,"울산광역시 남구 봉월로 5, 4~5층 (신정동)","{'lat': 35.5330369, 'lng': 129.3069225}",35.5330369,129.3069225
149,가족보건의원,의원,"울산광역시 남구 봉월로 63, 1,2층 (신정동)","{'lat': 35.5385657, 'lng': 129.3051552}",35.5385657,129.3051552
150,순풍산부인과의원,의원,울산광역시 남구 북부순환도로 10 (무거동),"{'lat': 35.5508351, 'lng': 129.2652478}",35.5508351,129.2652478
151,라임의원,의원,"울산광역시 남구 북부순환도로 11, 3층 (무거동)","{'lat': 35.55125719999999, 'lng': 129.2649633}",35.55125719999999,129.2649633
152,남종진다모의원,의원,"울산광역시 남구 북부순환도로 11, 4층 (무거동)","{'lat': 35.55125719999999, 'lng': 129.2649633}",35.55125719999999,129.2649633
153,정안과의원,의원,"울산광역시 남구 북부순환도로 13, 2층 (무거동)","{'lat': 35.5514662, 'lng': 129.2651518}",35.5514662,129.2651518
154,김호철내과의원,의원,"울산광역시 남구 북부순환도로 13, 3층 (무거동)","{'lat': 35.5514662, 'lng': 129.2651518}",35.5514662,129.2651518
155,김형규학문외과의원,의원,"울산광역시 남구 북부순환도로 13, 5층 (무거동, 보령메디칼빌딩)","{'lat': 35.551403, 'lng': 129.2650857}",35.551403,129.2650857
156,변준영이비인후과의원,의원,울산광역시 남구 북부순환도로 16 (무거동),"{'lat': 35.5512887, 'lng': 129.2658284}",35.5512887,129.2658284
157,미래이비인후과의원,의원,울산광역시 남구 북부순환도로 23 (무거동),"{'lat': 35.5520594, 'lng': 129.2663346}",35.5520594,129.2663346
158,원정신건강의학과의원,의원,울산광역시 남구 북부순환도로 24 (무거동),"{'lat': 35.5515183, 'lng': 129.266453}",35.5515183,129.266453
159,편한제통의원,의원,"울산광역시 남구 북부순환도로 24, 2층 (무거동)","{'lat': 35.5515183, 'lng': 129.266453}",35.5515183,129.266453
160,엄피부과의원,의원,"울산광역시 남구 북부순환도로 24, 4층 (무거동)","{'lat': 35.5515183, 'lng': 129.266453}",35.5515183,129.266453
161,시민건강의원,의원,"울산광역시 남구 북부순환도로 48, 4,7층 (무거동)","{'lat': 35.552241, 'lng': 129.2689536}",35.552241,129.2689536
162,엄재화내과의원,의원,울산광역시 남구 삼산로 10 (신정동),"{'lat': 35.5323512, 'lng': 129.3091519}",35.5323512,129.3091519
163,양경철성형외과의원,의원,"울산광역시 남구 삼산로 115, 4층 (달동)","{'lat': 35.5362912, 'lng': 129.3242167}",35.5362912,129.3242167
164,현대영상의학과의원,의원,울산광역시 남구 삼산로 117 (달동),"{'lat': 35.5369297, 'lng': 129.327221}",35.5369297,129.327221
165,김안과의원,의원,울산광역시 남구 삼산로 12 (신정동),"{'lat': 35.5324233, 'lng': 129.309314}",35.5324233,129.309314
166,임정현내과의원,의원,"울산광역시 남구 삼산로 127, 2층 (달동)","{'lat': 35.5352511, 'lng': 129.3226614}",35.5352511,129.3226614
167,코넬비뇨기과의원,의원,"울산광역시 남구 삼산로 136, 2층 (달동)","{'lat': 35.5366557, 'lng': 129.323442}",35.5366557,129.323442
168,주영산부인과의원,의원,"울산광역시 남구 삼산로 136, 4층 (달동)","{'lat': 35.5346751, 'lng': 129.3245518}",35.5346751,129.3245518
169,이현정산부인과의원,의원,"울산광역시 남구 삼산로 15, 2층 (신정동)","{'lat': 35.5330626, 'lng': 129.3095394}",35.5330626,129.3095394
170,홍승범정신건강의학과의원,의원,"울산광역시 남구 삼산로 15, 5층 (신정동, 세안빌딩)","{'lat': 35.5331004, 'lng': 129.3095265}",35.5331004,129.3095265
171,음현진산부인과의원,의원,"울산광역시 남구 삼산로 166, 4층 (달동)","{'lat': 35.5366069, 'lng': 129.3255087}",35.5366069,129.3255087
172,김진우심당내과의원,의원,"울산광역시 남구 삼산로 167, 2층 (달동)","{'lat': 35.5366557, 'lng': 129.323442}",35.5366557,129.323442
