bus_no,route,stop_id,latitude,longitude,order
401,율리-꽃바위,30617,35.55667177,129.379093,33
401,율리-꽃바위,30619,35.55275555,129.3814236,34
401,율리-꽃바위,30621,35.54904384,129.3831346,35
401,율리-꽃바위,30623,35.54215549,129.3851753,36
401,율리-꽃바위,30625,35.53846442,129.3870296,37
401,율리-꽃바위,30627,35.53470865,129.3894475,38
401,율리-꽃바위,30629,35.53090381,129.3929863,39
401,율리-꽃바위,30631,35.52780181,129.3969948,40
401,율리-꽃바위,24201,35.52490682,129.4010898,41
401,율리-꽃바위,24203,35.53002072,129.4092194,42
401,율리-꽃바위,24255,35.53324961,129.4132377,43
401,율리-꽃바위,24205,35.53757524,129.4191831,44
401,율리-꽃바위,24209,35.53932548,129.4255749,45
401,율리-꽃바위,24211,35.53561906,129.4300818,46
401,율리-꽃바위,24213,35.53315765,129.4321277,47
401,율리-꽃바위,24215,35.52884851,129.4329805,48
401,율리-꽃바위,24217,35.52446545,129.4328884,49
401,율리-꽃바위,24219,35.52259503,129.4326158,50
401,율리-꽃바위,24221,35.51730092,129.4319,51
401,율리-꽃바위,24223,35.51511153,129.4322545,52
401,율리-꽃바위,24225,35.51162475,129.43055,53
401,율리-꽃바위,24227,35.50781424,129.4299606,54
401,율리-꽃바위,24229,35.5029945,129.4291149,55
401,율리-꽃바위,24231,35.50000017,129.4283629,56
401,율리-꽃바위,24233,35.49622157,129.4273823,57
401,율리-꽃바위,24235,35.49193024,129.4262814,58
401,율리-꽃바위,25010,35.48739516,129.4254578,59
401,율리-꽃바위,25008,35.48559473,129.4231908,60
401,율리-꽃바위,25006,35.48352048,129.4185696,61
401,율리-꽃바위,25004,35.48052758,129.4148395,62
401,율리-꽃바위,25002,35.47767108,129.4114121,63
401,율리-꽃바위,19016,35.47883279,129.4102792,64
